------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.711923229723408e+00  1.200000000000000e+01  5.800000000000002e+00        1
 4.724150264122417e+00 -1.411304529462850e-01 -6.635054566434693e-01 -1.764672150899341e+00  1.200000000000000e+01  6.020619923992494e+00        2
 9.448300147720783e+00 -2.909553964936314e-01 -1.359434768214345e+00 -8.258365845517069e-01  1.200000000000000e+01  6.451721972231986e+00        3
 1.417244966901524e+01 -2.773094386936216e-01 -1.282429024694181e+00  2.340969744968346e-01  1.200000000000000e+01  6.856471195758123e+00        4
 1.889659918173700e+01 -2.523519935381218e-01 -1.171877158957964e+00  3.828562279663870e-01  1.200000000000000e+01  7.123685514180758e+00        5
 2.362074927674539e+01 -2.141754092767895e-01 -1.035530818517872e+00  5.143872851386142e-01  1.167871466498796e+01  7.207571430622251e+00        6
 2.834489814427101e+01 -1.675286504067507e-01 -8.971996297058584e-01  5.185037984694860e-01  1.046743150242210e+01  7.171216163992889e+00        7
 3.306904551846291e+01 -1.286732891354498e-01 -7.771525023269108e-01  3.560481380048388e-01  8.897772312098258e+00  7.040087753364705e+00        8
 3.779319289205402e+01 -1.088153188202984e-01 -6.934032189882801e-01  1.794299780650044e-01  7.928898466506952e+00  6.829171828008445e+00        9
 4.251733974985181e+01 -9.908464456050760e-02 -6.479611554193933e-01  7.420318498303631e-02  7.145470016068843e+00  6.560585662577195e+00       10
 4.724148044227439e+01 -9.657894052447244e-02 -6.279982383986787e-01 -5.754925573177883e-02  6.389606591961557e+00  6.251702683610995e+00       11
 5.196558648487290e+01 -1.085746886922862e-01 -6.209082179429345e-01 -2.146569357326794e-01  5.636334037427519e+00  5.915251827769890e+00       12
 5.668962920756084e+01 -1.319760663704148e-01 -6.200137964178407e-01 -3.505589653705175e-01  4.876052783400474e+00  5.558582541575045e+00       13
 6.141358437039632e+01 -1.663810354630453e-01 -6.191052887362811e-01 -4.864652551611862e-01  4.084275591036306e+00  5.195558807992746e+00       14
 6.613741072285227e+01 -2.121907395237608e-01 -6.151657348647722e-01 -6.390927617119496e-01  3.214721154901155e+00  4.831364160548186e+00       15
 7.086104296909130e+01 -2.717583818819584e-01 -6.072808425703359e-01 -8.164064694648776e-01  2.292661823839104e+00  4.473170733008155e+00       16
 7.558441866526263e+01 -3.467964204926093e-01 -5.950719309425017e-01 -1.013346508765308e+00  1.334803495130228e+00  4.126439268959230e+00       17
 8.030746532291801e+01 -4.388212990969284e-01 -5.791198753694051e-01 -1.233518890956902e+00  3.683181310616638e-01  3.795541064823567e+00       18
 8.503007336431617e+01 -5.501358909647920e-01 -5.601146073372488e-01 -1.498285562664290e+00 -5.982035965286008e-01  3.483917541143600e+00       19
 8.975202001010955e+01 -6.857684102570956e-01 -5.396295810734091e-01 -1.806655350534742e+00 -1.536184745913836e+00  3.196535852348737e+00       20
 9.447311753352224e+01 -8.478454161231256e-01 -5.187111245572960e-01 -2.152346879968348e+00 -2.426188683887839e+00  2.934301000562597e+00       21
 9.919306595912073e+01 -1.040342988782339e+00 -4.986532043701782e-01 -2.560975119391083e+00 -3.252779638823634e+00  2.698901077037080e+00       22
 1.039113852698785e+02 -1.269571438695373e+00 -4.808982854917663e-01 -3.072753930214298e+00 -3.995683287196752e+00  2.492635930267961e+00       23
 1.086271888545820e+02 -1.546049421188964e+00 -4.671411413676377e-01 -3.711149009124350e+00 -4.628080199791959e+00  2.318109628350974e+00       24
 1.133392242877370e+02 -1.879802351089535e+00 -4.579227759489108e-01 -4.507364532193269e+00 -5.135233664971399e+00  2.172832599980604e+00       25
 1.180456097691179e+02 -2.286217071228661e+00 -4.537901340991915e-01 -5.632979417904589e+00 -5.488752172748769e+00  2.055155724327624e+00       26
 1.227411737853877e+02 -2.802657622777333e+00 -4.533715122190813e-01 -7.351423122124745e+00 -5.614417124339514e+00  1.956472700106277e+00       27
 1.274155196961279e+02 -3.485141884577236e+00 -4.475692107755593e-01 -1.018067153804368e+01 -5.383352950776054e+00  1.845624596901750e+00       28
 1.320406739244806e+02 -4.446369534328491e+00 -3.996291178647073e-01 -1.603956718820938e+01 -4.529770505928913e+00  1.609552971771306e+00       29
 1.365034369630760e+02 -5.996143567001272e+00 -8.906706603512933e-02 -2.032029411266206e+01 -2.479248747594140e+00  4.000000000000001e-01       30
